"yr","date","Latitude","Longitude","pyro","doy","pyrocat","subsegment"
2012,2012-05-15,27.9244,-82.5496,NA,136,NA,"SE"
2012,2012-05-15,27.86111,-82.58911,NA,136,NA,"SW"
2012,2012-05-31,28.02,-82.675,NA,152,NA,"NW"
2012,2012-05-31,27.972,-82.673,NA,152,NA,"NW"
2012,2012-05-31,27.98,-82.62,NA,152,NA,"NE"
2012,2012-05-31,27.942,-82.577,NA,152,NA,"CE"
2012,2012-05-31,27.957,-82.622,NA,152,NA,"CE"
2012,2012-05-31,27.942,-82.675,NA,152,NA,"CW"
2012,2012-05-31,27.9055,-82.6046,NA,152,NA,"SW"
2012,2012-05-31,27.9244,-82.5496,NA,152,NA,"SE"
2012,2012-05-31,27.86111,-82.58911,NA,152,NA,"SW"
2012,2012-06-13,28.02,-82.675,2667,165,"No bloom","NW"
2012,2012-06-13,27.972,-82.673,NA,165,NA,"NW"
2012,2012-06-13,27.98,-82.62,NA,165,NA,"NE"
2012,2012-06-13,27.942,-82.577,NA,165,NA,"CE"
2012,2012-06-13,27.957,-82.622,NA,165,NA,"CE"
2012,2012-06-13,27.942,-82.675,NA,165,NA,"CW"
2012,2012-06-13,27.9055,-82.6046,NA,165,NA,"SW"
2012,2012-06-13,27.9244,-82.5496,NA,165,NA,"SE"
2012,2012-06-13,27.86111,-82.58911,NA,165,NA,"SW"
2012,2012-06-28,28.02,-82.675,333,180,"No bloom","NW"
2012,2012-06-28,27.972,-82.673,2333,180,"No bloom","NW"
2012,2012-06-28,27.98,-82.62,1000,180,"No bloom","NE"
2012,2012-06-28,27.942,-82.577,1000,180,"No bloom","CE"
2012,2012-06-28,27.957,-82.622,333,180,"No bloom","CE"
2012,2012-06-28,27.942,-82.675,667,180,"No bloom","CW"
2012,2012-06-28,27.9055,-82.6046,333,180,"No bloom","SW"
2012,2012-06-28,27.9244,-82.5496,NA,180,NA,"SE"
2012,2012-06-28,27.86111,-82.58911,NA,180,NA,"SW"
2012,2012-07-11,28.02,-82.675,2000,193,"No bloom","NW"
2012,2012-07-11,27.972,-82.673,NA,193,NA,"NW"
2012,2012-07-11,27.98,-82.62,NA,193,NA,"NE"
2012,2012-07-11,27.942,-82.577,NA,193,NA,"CE"
2012,2012-07-11,27.957,-82.622,NA,193,NA,"CE"
2012,2012-07-11,27.942,-82.675,NA,193,NA,"CW"
2012,2012-07-11,27.9055,-82.6046,333,193,"No bloom","SW"
2012,2012-07-11,27.9244,-82.5496,NA,193,NA,"SE"
2012,2012-07-11,27.86111,-82.58911,333,193,"No bloom","SW"
2012,2012-07-26,28.02,-82.675,333,208,"No bloom","NW"
2012,2012-07-26,27.972,-82.673,NA,208,NA,"NW"
2012,2012-07-26,27.98,-82.62,NA,208,NA,"NE"
2012,2012-07-26,27.942,-82.577,NA,208,NA,"CE"
2012,2012-07-26,27.957,-82.622,NA,208,NA,"CE"
2012,2012-07-26,27.942,-82.675,NA,208,NA,"CW"
2012,2012-07-26,27.9055,-82.6046,NA,208,NA,"SW"
2012,2012-07-26,27.9244,-82.5496,NA,208,NA,"SE"
2012,2012-07-26,27.86111,-82.58911,NA,208,NA,"SW"
2012,2012-08-08,28.02,-82.675,NA,221,NA,"NW"
2012,2012-08-08,27.972,-82.673,NA,221,NA,"NW"
2012,2012-08-08,27.98,-82.62,NA,221,NA,"NE"
2012,2012-08-08,27.942,-82.577,NA,221,NA,"CE"
2012,2012-08-08,27.957,-82.622,NA,221,NA,"CE"
2012,2012-08-08,27.942,-82.622,NA,221,NA,"CW"
2012,2012-08-08,27.9055,-82.6046,NA,221,NA,"SW"
2012,2012-08-08,27.9244,-82.5496,NA,221,NA,"SE"
2012,2012-08-08,27.86111,-82.58911,NA,221,NA,"SW"
2012,2012-08-24,28.02,-82.675,333,237,"No bloom","NW"
2012,2012-08-24,27.972,-82.673,40333,237,"Low","NW"
2012,2012-08-24,27.98,-82.62,1000,237,"No bloom","NE"
2012,2012-08-24,27.942,-82.577,7667,237,"No bloom","CE"
2012,2012-08-24,27.957,-82.622,333,237,"No bloom","CE"
2012,2012-08-24,27.942,-82.675,2156000,237,"High","CW"
2012,2012-08-24,27.9055,-82.6046,30333,237,"Low","SW"
2012,2012-08-24,27.9244,-82.5496,3000,237,"No bloom","SE"
2012,2012-08-24,27.86111,-82.58911,667,237,"No bloom","SW"
2012,2012-09-05,28.02,-82.675,119667,249,"Medium","NW"
2012,2012-09-05,27.972,-82.673,237333,249,"Medium","NW"
2012,2012-09-05,27.98,-82.62,34000,249,"Low","NE"
2012,2012-09-05,27.942,-82.577,163333,249,"Medium","CE"
2012,2012-09-05,27.957,-82.622,165667,249,"Medium","CE"
2012,2012-09-05,27.942,-82.675,232333,249,"Medium","CW"
2012,2012-09-05,27.9055,-82.6046,5333,249,"No bloom","SW"
2012,2012-09-05,27.9244,-82.5496,22000,249,"Low","SE"
2012,2012-09-05,27.86111,-82.58911,5333,249,"No bloom","SW"
2012,2012-09-19,28.02,-82.675,41000,263,"Low","NW"
2012,2012-09-19,27.972,-82.673,34667,263,"Low","NW"
2012,2012-09-19,27.98,-82.62,11000,263,"Low","NE"
2012,2012-09-19,27.942,-82.577,48667,263,"Low","CE"
2012,2012-09-19,27.957,-82.622,33000,263,"Low","CE"
2012,2012-09-19,27.942,-82.675,32333,263,"Low","CW"
2012,2012-09-19,27.9055,-82.6046,74333,263,"Low","SW"
2012,2012-09-19,27.9244,-82.5496,34667,263,"Low","SE"
2012,2012-09-19,27.86111,-82.58911,1000,263,"No bloom","SW"
2012,2012-10-17,28.02,-82.675,NA,291,NA,"NW"
2012,2012-10-17,27.972,-82.673,NA,291,NA,"NW"
2012,2012-10-17,27.98,-82.62,NA,291,NA,"NE"
2012,2012-10-17,27.942,-82.577,NA,291,NA,"CE"
2012,2012-10-17,27.957,-82.622,NA,291,NA,"CE"
2012,2012-10-17,27.942,-82.675,NA,291,NA,"CW"
2012,2012-10-17,27.9055,-82.6046,NA,291,NA,"SW"
2012,2012-10-17,27.9244,-82.5496,NA,291,NA,"SE"
2012,2012-10-17,27.86111,-82.58911,NA,291,NA,"SW"
2012,2012-11-02,28.02,-82.675,NA,307,NA,"NW"
2012,2012-11-02,27.972,-82.673,333,307,"No bloom","NW"
2012,2012-11-02,27.98,-82.62,333,307,"No bloom","NE"
2012,2012-11-02,27.942,-82.577,NA,307,NA,"CE"
2012,2012-11-02,27.957,-82.622,NA,307,NA,"CE"
2012,2012-11-02,27.942,-82.675,333,307,"No bloom","CW"
2012,2012-11-02,27.9055,-82.6046,NA,307,NA,"SW"
2012,2012-11-02,27.9244,-82.5496,NA,307,NA,"SE"
2012,2012-11-02,27.86111,-82.58911,NA,307,NA,"SW"
2012,2012-11-14,28.02,-82.675,NA,319,NA,"NW"
2012,2012-11-14,27.972,-82.673,NA,319,NA,"NW"
2012,2012-11-14,27.98,-82.62,NA,319,NA,"NE"
2012,2012-11-14,27.942,-82.577,NA,319,NA,"CE"
2012,2012-11-14,27.957,-82.622,NA,319,NA,"CE"
2012,2012-11-14,27.942,-82.675,NA,319,NA,"CW"
2012,2012-11-14,27.9055,-82.6046,NA,319,NA,"SW"
2012,2012-11-14,27.9244,-82.5496,NA,319,NA,"SE"
2012,2012-11-14,27.86111,-82.58911,NA,319,NA,"SW"
2012,2012-11-27,28.02,-82.675,333,332,"No bloom","NW"
2012,2012-11-27,27.972,-82.673,NA,332,NA,"NW"
2012,2012-11-27,27.98,-82.62,NA,332,NA,"NE"
2012,2012-11-27,27.942,-82.577,NA,332,NA,"CE"
2012,2012-11-27,27.957,-82.622,NA,332,NA,"CE"
2012,2012-11-27,27.942,-82.675,NA,332,NA,"CW"
2012,2012-11-27,27.9055,-82.6046,NA,332,NA,"SW"
2012,2012-11-27,27.9244,-82.5496,NA,332,NA,"SE"
2012,2012-11-27,27.86111,-82.58911,NA,332,NA,"SW"
