"var1","rho","pval","sig"
"ccm.pyro.nw.ne.pval.d7",0.941,0.012,"*"
"ccm.pyro.se.ce.pval.d0",0.95,0.002,"**"
"ccm.pyro.se.ce.pval.d1",0.956,0.002,"**"
"ccm.pyro.se.ce.pval.d2",0.956,0.002,"**"
"ccm.pyro.se.ce.pval.d3",0.946,0.002,"**"
"ccm.pyro.se.ce.pval.d4",0.932,0.002,"**"
"ccm.pyro.se.ce.pval.d5",0.923,0.002,"**"
"ccm.pyro.se.ce.pval.d6",0.919,0.002,"**"
"ccm.pyro.se.ce.pval.d7",0.922,0.002,"**"
"ccm.pyro.se.cw.pval.d0",0.94,0.002,"**"
"ccm.pyro.se.cw.pval.d1",0.948,0.002,"**"
"ccm.pyro.se.cw.pval.d2",0.954,0.002,"**"
"ccm.pyro.se.cw.pval.d3",0.948,0.002,"**"
"ccm.pyro.se.cw.pval.d4",0.93,0.002,"**"
"ccm.pyro.se.cw.pval.d5",0.92,0.002,"**"
"ccm.pyro.se.cw.pval.d6",0.919,0.004,"**"
"ccm.pyro.se.cw.pval.d7",0.915,0.002,"**"
"ccm.pyro.se.sw.pval.d0",0.935,0.002,"**"
"ccm.pyro.se.sw.pval.d1",0.946,0.002,"**"
"ccm.pyro.se.sw.pval.d2",0.949,0.002,"**"
"ccm.pyro.se.sw.pval.d3",0.936,0.002,"**"
"ccm.pyro.se.sw.pval.d4",0.913,0.002,"**"
"ccm.pyro.se.sw.pval.d5",0.903,0.002,"**"
"ccm.pyro.se.sw.pval.d6",0.906,0.006,"**"
"ccm.pyro.se.sw.pval.d7",0.899,0.118,""
"ccm.pyro.sw.ce.pval.d0",0.954,0.002,"**"
"ccm.pyro.sw.ce.pval.d1",0.94,0.012,"*"
"ccm.pyro.sw.ce.pval.d2",0.949,0.002,"**"
"ccm.pyro.sw.ce.pval.d3",0.954,0.002,"**"
"ccm.pyro.sw.ce.pval.d4",0.946,0.002,"**"
"ccm.pyro.sw.ce.pval.d5",0.954,0.002,"**"
"ccm.pyro.sw.ce.pval.d6",0.955,0.002,"**"
"ccm.pyro.sw.ce.pval.d7",0.945,0.008,"**"
"ccm.pyro.sw.cw.pval.d0",0.941,0.002,"**"
"ccm.pyro.sw.cw.pval.d1",0.935,0.004,"**"
"ccm.pyro.sw.cw.pval.d2",0.945,0.004,"**"
"ccm.pyro.sw.cw.pval.d3",0.956,0.002,"**"
"ccm.pyro.sw.cw.pval.d4",0.953,0.002,"**"
"ccm.pyro.sw.cw.pval.d5",0.957,0.002,"**"
"ccm.pyro.sw.cw.pval.d6",0.958,0.002,"**"
"ccm.pyro.sw.cw.pval.d7",0.948,0.002,"**"
"ccm.pyro.sw.se.pval.d0",0.925,0.004,"**"
"ccm.pyro.sw.se.pval.d1",0.916,0.02,"*"
"ccm.pyro.sw.se.pval.d2",0.929,0.002,"**"
"ccm.pyro.sw.se.pval.d3",0.938,0.004,"**"
"ccm.pyro.sw.se.pval.d4",0.925,0.002,"**"
"ccm.pyro.sw.se.pval.d5",0.934,0.002,"**"
"ccm.pyro.sw.se.pval.d6",0.938,0.002,"**"
"ccm.pyro.sw.se.pval.d7",0.934,0.004,"**"
