BAY_SEG,MAJOR_BASIN,BASIN,YEAR,MONTH,SOURCE,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
1,Coastal OTB,LTARPON,1999,6,NPS,3036391.867,3027.445272,754.9324687,14951.57386,68973.77653
1,Coastal OTB,LTARPON,1999,7,NPS,3436788.672,4063.200599,877.0396015,17821.99648,83777.14125
1,Coastal OTB,LTARPON,1999,8,NPS,5026512.637,5388.498888,1282.723804,26065.75472,122529.1688
1,Coastal OTB,LTARPON,1999,9,NPS,4415541.434,4929.261046,1126.809085,22897.46953,107635.7826
1,Coastal OTB,LTARPON,1999,10,NPS,2230713.041,2302.103222,569.2592311,11567.70572,54377.14663
1,Coastal OTB,LTARPON,1999,11,NPS,1953579.2,1990.789094,485.7147669,9619.668665,44376.92533
1,Coastal OTB,LTARPON,1999,12,NPS,1026349.979,962.3546295,255.1794884,5053.875847,23314.26153
1,Coastal OTB,LTARPON,2000,1,NPS,843205.9535,834.7421924,209.6447296,4152.051726,19154.0162
1,Coastal OTB,LTARPON,2000,2,NPS,767950.8795,1017.129593,190.9342004,3781.486316,17444.54427
1,Coastal OTB,LTARPON,2000,3,NPS,688918.2482,722.8966278,171.2844641,3392.319741,15649.26247
1,Coastal OTB,LTARPON,2000,4,NPS,639346.7674,739.115866,158.9595989,3148.22356,14523.21142
1,Coastal OTB,LTARPON,2000,5,NPS,568166.7819,797.0500527,141.2622514,2797.724396,12906.308
1,Coastal OTB,LTARPON,2000,6,NPS,1791718.037,1953.795701,445.4715268,8822.644028,40700.1352
1,Coastal OTB,LTARPON,2000,7,NPS,8506629.053,9480.98036,2170.820282,44112.43388,207362.4921
1,Coastal OTB,LTARPON,2000,8,NPS,9956881.477,11299.26553,2540.912519,51632.94097,242714.6809
1,Coastal OTB,LTARPON,2000,9,NPS,10910912.91,11273.80642,2784.373328,56580.21778,265970.701
1,Coastal OTB,LTARPON,2000,10,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2000,11,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2000,12,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2001,1,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2001,2,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2001,3,NPS,0,0,0,0,0
