year,month,basin,BAY_SEG,source,majbasin,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
2015,5,LTARPON,1,NPS,Coastal OTB,46374.79007,49.34296038,11.59731217,236.5914511,1099.556177
2015,6,LTARPON,1,NPS,Coastal OTB,3172726.584,3271.137589,793.4289422,16186.38026,75226.02494
2015,7,LTARPON,1,NPS,Coastal OTB,27842363.55,29229.1006,7142.464824,149500.9089,708015.7034
2015,8,LTARPON,1,NPS,Coastal OTB,34716820.4,36799.01534,8905.98487,186413.6352,882829.289
2015,9,LTARPON,1,NPS,Coastal OTB,12796292.03,13126.4358,3282.661887,68710.30488,325402.5358
2015,10,LTARPON,1,NPS,Coastal OTB,2092023.639,2157.354353,536.6715805,11233.22145,53198.98886
2015,11,LTARPON,1,NPS,Coastal OTB,2725118.69,2499.507052,681.4920802,13902.80763,64613.14618
2015,12,LTARPON,1,NPS,Coastal OTB,1667902.112,1496.297849,417.1055317,8509.178812,39546.31532
2016,1,LTARPON,1,NPS,Coastal OTB,2592726.268,2342.322571,648.3836555,13227.37783,61474.09358
2016,2,LTARPON,1,NPS,Coastal OTB,3009897.286,2840.439149,752.708926,15355.66987,71365.3075
2016,3,LTARPON,1,NPS,Coastal OTB,2896151.258,2826.094009,724.2635533,14775.36885,68668.3649
2016,4,LTARPON,1,NPS,Coastal OTB,2211522.767,2925.873333,553.0530675,11282.58219,52435.67715
2016,5,LTARPON,1,NPS,Coastal OTB,3032879.909,2933.274116,758.4563731,15472.9209,71910.2304
2016,6,LTARPON,1,NPS,Coastal OTB,6666690.032,6237.835608,1667.192139,34011.62283,158068.6445
2016,7,LTARPON,1,NPS,Coastal OTB,2610783.124,2712.788928,669.7501308,14018.72543,66390.75188
2016,8,LTARPON,1,NPS,Coastal OTB,18562631.31,19111.22614,4761.914013,99672.94071,472037.3125
2016,9,LTARPON,1,NPS,Coastal OTB,22491949.12,22656.7174,5769.910845,120771.6015,571957.6625
2016,10,LTARPON,1,NPS,Coastal OTB,3300455.183,3275.534092,846.6732721,17721.95269,83928.72588
2016,11,LTARPON,1,NPS,Coastal OTB,2568769.185,2420.230095,642.3925173,13105.15537,60906.06602
2016,12,LTARPON,1,NPS,Coastal OTB,1078139.916,995.9185629,269.619014,5500.373951,25562.92769
2017,1,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,2,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,3,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,4,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,5,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2017,6,LTARPON,1,NPS,Coastal OTB,929580.6276,875.9299964,232.9169021,4770.016662,22168.10146
2017,7,LTARPON,1,NPS,Coastal OTB,3614234.738,3755.362544,929.3040287,19525.1776,92462.99194
2017,8,LTARPON,1,NPS,Coastal OTB,9029649.048,8855.19553,2321.733326,48780.86624,231005.5732
2017,9,LTARPON,1,NPS,Coastal OTB,27562667.9,26378.77702,7087.004629,148901.78,705135.9207
2017,10,LTARPON,1,NPS,Coastal OTB,2994950.902,2806.977077,770.071714,16179.621,76619.84935
2017,11,LTARPON,1,NPS,Coastal OTB,980699.2572,973.8584903,245.7252509,5032.324963,23387.14899
2017,12,LTARPON,1,NPS,Coastal OTB,575282.5096,503.7247855,144.1435159,2951.984018,13719.00474
2018,1,LTARPON,1,NPS,Coastal OTB,2795610.534,2599.580723,700.4717243,14345.29554,66668.10399
2018,2,LTARPON,1,NPS,Coastal OTB,3903090.114,3453.917413,977.9632138,20028.1765,93078.63683
2018,3,LTARPON,1,NPS,Coastal OTB,96684.12,138.573975,24.22529585,496.1214226,2305.667005
2018,4,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2018,5,LTARPON,1,NPS,Coastal OTB,1896744.108,1751.845006,475.2506116,9732.884627,45232.45707
2018,6,LTARPON,1,NPS,Coastal OTB,1889356.45,1917.532534,473.3995505,9694.975861,45056.28046
2018,7,LTARPON,1,NPS,Coastal OTB,4005277.098,4210.915218,1029.850138,21637.70545,102467.0313
2018,8,LTARPON,1,NPS,Coastal OTB,9993347.415,10476.62949,2569.522648,53987.0532,255659.875
