"yr","date","Latitude","Longitude","pyro","doy","pyrocat"
2012,2012-07-26,27.942,-82.675,NA,208,NA
2012,2012-07-26,27.9055,-82.6046,NA,208,NA
2012,2012-07-26,27.9244,-82.5496,NA,208,NA
2012,2012-07-26,27.86111,-82.58911,NA,208,NA
2012,2012-07-26,27.7723,-82.5789,NA,208,NA
2012,2012-08-08,28.02,-82.675,NA,221,NA
2012,2012-08-08,27.972,-82.673,NA,221,NA
2012,2012-08-08,27.98,-82.62,NA,221,NA
2012,2012-08-08,27.942,-82.577,NA,221,NA
2012,2012-08-08,27.957,-82.622,NA,221,NA
2012,2012-08-08,27.942,-82.622,NA,221,NA
2012,2012-08-08,27.9055,-82.6046,NA,221,NA
2012,2012-08-08,27.9244,-82.5496,NA,221,NA
2012,2012-08-08,27.86111,-82.58911,NA,221,NA
2012,2012-08-08,27.7723,-82.5789,NA,221,NA
2012,2012-08-24,28.02,-82.675,333,237,"No bloom"
2012,2012-08-24,27.972,-82.673,40333,237,"Low"
2012,2012-08-24,27.98,-82.62,1000,237,"No bloom"
2012,2012-08-24,27.942,-82.577,7667,237,"No bloom"
2012,2012-08-24,27.957,-82.622,333,237,"No bloom"
2012,2012-08-24,27.942,-82.675,2156000,237,"High"
2012,2012-08-24,27.9055,-82.6046,30333,237,"Low"
2012,2012-08-24,27.9244,-82.5496,3000,237,"No bloom"
2012,2012-08-24,27.86111,-82.58911,667,237,"No bloom"
2012,2012-08-24,27.7723,-82.5789,NA,237,NA
2012,2012-09-05,28.02,-82.675,119667,249,"Medium"
2012,2012-09-05,27.972,-82.673,237333,249,"Medium"
2012,2012-09-05,27.98,-82.62,34000,249,"Low"
2012,2012-09-05,27.942,-82.577,163333,249,"Medium"
2012,2012-09-05,27.957,-82.622,165667,249,"Medium"
2012,2012-09-05,27.942,-82.675,232333,249,"Medium"
2012,2012-09-05,27.9055,-82.6046,5333,249,"No bloom"
2012,2012-09-05,27.9244,-82.5496,22000,249,"Low"
2012,2012-09-05,27.86111,-82.58911,5333,249,"No bloom"
2012,2012-09-05,27.7723,-82.5789,8000,249,"No bloom"
2012,2012-09-19,28.02,-82.675,41000,263,"Low"
2012,2012-09-19,27.972,-82.673,34667,263,"Low"
2012,2012-09-19,27.98,-82.62,11000,263,"Low"
2012,2012-09-19,27.942,-82.577,48667,263,"Low"
2012,2012-09-19,27.957,-82.622,33000,263,"Low"
2012,2012-09-19,27.942,-82.675,32333,263,"Low"
2012,2012-09-19,27.9055,-82.6046,74333,263,"Low"
2012,2012-09-19,27.9244,-82.5496,34667,263,"Low"
2012,2012-09-19,27.86111,-82.58911,1000,263,"No bloom"
2012,2012-09-19,27.7723,-82.5789,3000,263,"No bloom"
2012,2012-10-17,28.02,-82.675,NA,291,NA
2012,2012-10-17,27.972,-82.673,NA,291,NA
2012,2012-10-17,27.98,-82.62,NA,291,NA
2012,2012-10-17,27.942,-82.577,NA,291,NA
2012,2012-10-17,27.957,-82.622,NA,291,NA
2012,2012-10-17,27.942,-82.675,NA,291,NA
2012,2012-10-17,27.9055,-82.6046,NA,291,NA
2012,2012-10-17,27.9244,-82.5496,NA,291,NA
2012,2012-10-17,27.86111,-82.58911,NA,291,NA
2012,2012-10-17,27.7723,-82.5789,NA,291,NA
2012,2012-11-02,28.02,-82.675,NA,307,NA
2012,2012-11-02,27.972,-82.673,333,307,"No bloom"
2012,2012-11-02,27.98,-82.62,333,307,"No bloom"
2012,2012-11-02,27.942,-82.577,NA,307,NA
2012,2012-11-02,27.957,-82.622,NA,307,NA
2012,2012-11-02,27.942,-82.675,333,307,"No bloom"
2012,2012-11-02,27.9055,-82.6046,NA,307,NA
2012,2012-11-02,27.9244,-82.5496,NA,307,NA
2012,2012-11-02,27.86111,-82.58911,NA,307,NA
2012,2012-11-02,27.7723,-82.5789,333,307,"No bloom"
2012,2012-11-14,28.02,-82.675,NA,319,NA
2012,2012-11-14,27.972,-82.673,NA,319,NA
2012,2012-11-14,27.98,-82.62,NA,319,NA
2012,2012-11-14,27.942,-82.577,NA,319,NA
2012,2012-11-14,27.957,-82.622,NA,319,NA
2012,2012-11-14,27.942,-82.675,NA,319,NA
2012,2012-11-14,27.9055,-82.6046,NA,319,NA
2012,2012-11-14,27.9244,-82.5496,NA,319,NA
2012,2012-11-14,27.86111,-82.58911,NA,319,NA
2012,2012-11-14,27.7723,-82.5789,NA,319,NA
2012,2012-11-27,28.02,-82.675,333,332,"No bloom"
2012,2012-11-27,27.972,-82.673,NA,332,NA
2012,2012-11-27,27.98,-82.62,NA,332,NA
2012,2012-11-27,27.942,-82.577,NA,332,NA
2012,2012-11-27,27.957,-82.622,NA,332,NA
2012,2012-11-27,27.942,-82.675,NA,332,NA
2012,2012-11-27,27.9055,-82.6046,NA,332,NA
2012,2012-11-27,27.9244,-82.5496,NA,332,NA
2012,2012-11-27,27.86111,-82.58911,NA,332,NA
2012,2012-11-27,27.7723,-82.5789,NA,332,NA
2012,2012-12-19,28.02,-82.675,NA,354,NA
2012,2012-12-19,27.972,-82.673,NA,354,NA
2012,2012-12-19,27.98,-82.62,NA,354,NA
2012,2012-12-19,27.942,-82.577,NA,354,NA
2012,2012-12-19,27.957,-82.622,NA,354,NA
2012,2012-12-19,27.942,-82.675,NA,354,NA
2012,2012-12-19,27.9055,-82.6046,NA,354,NA
2012,2012-12-19,27.9244,-82.5496,NA,354,NA
2012,2012-12-19,27.86111,-82.58911,NA,354,NA
2012,2012-12-19,27.7723,-82.5789,NA,354,NA
2013,2013-01-10,28.02,-82.675,NA,10,NA
2013,2013-01-10,27.972,-82.673,NA,10,NA
2013,2013-01-10,27.98,-82.62,NA,10,NA
2013,2013-01-10,27.942,-82.577,NA,10,NA
2013,2013-01-10,27.957,-82.622,NA,10,NA
2013,2013-01-10,27.942,-82.675,NA,10,NA
2013,2013-01-10,27.9055,-82.6046,NA,10,NA
2013,2013-01-10,27.9244,-82.5496,NA,10,NA
2013,2013-01-10,27.86111,-82.58911,NA,10,NA
2013,2013-01-10,27.7723,-82.5789,NA,10,NA
2013,2013-01-24,28.02,-82.675,NA,24,NA
2013,2013-01-24,27.972,-82.673,NA,24,NA
2013,2013-01-24,27.98,-82.62,NA,24,NA
2013,2013-01-24,27.942,-82.577,NA,24,NA
2013,2013-01-24,27.957,-82.622,NA,24,NA
2013,2013-01-24,27.942,-82.675,NA,24,NA
2013,2013-01-24,27.9055,-82.6046,NA,24,NA
2013,2013-01-24,27.9244,-82.5496,NA,24,NA
2013,2013-01-24,27.86111,-82.58911,NA,24,NA
2013,2013-01-24,27.7723,-82.5789,NA,24,NA
2013,2013-02-15,28.02,-82.675,NA,46,NA
