year,month,bay_segment,hy_load_106_m3_mo
2018,5,All Segments (- N. BCB),428.5481495
2018,6,All Segments (- N. BCB),405.6767513
2018,7,All Segments (- N. BCB),599.3862784
2018,8,All Segments (- N. BCB),731.3958739
2018,9,All Segments (- N. BCB),535.3560779
2018,10,All Segments (- N. BCB),156.8946855
2018,11,All Segments (- N. BCB),92.75456687
2018,12,All Segments (- N. BCB),425.5645323
2019,1,All Segments (- N. BCB),283.6569486
2019,2,All Segments (- N. BCB),231.219034
2019,3,All Segments (- N. BCB),136.0700218
2019,4,All Segments (- N. BCB),104.5395739
2019,5,All Segments (- N. BCB),146.3346869
2019,6,All Segments (- N. BCB),346.3552023
2019,7,All Segments (- N. BCB),781.8261008
2019,8,All Segments (- N. BCB),989.7033473
2019,9,All Segments (- N. BCB),203.7338817
2019,10,All Segments (- N. BCB),368.5209405
2019,11,All Segments (- N. BCB),108.1021964
2019,12,All Segments (- N. BCB),198.9806568
2020,1,All Segments (- N. BCB),109.5390999
2020,2,All Segments (- N. BCB),118.3801255
2020,3,All Segments (- N. BCB),46.33196326
2020,4,All Segments (- N. BCB),185.0703634
2020,5,All Segments (- N. BCB),94.76211747
2020,6,All Segments (- N. BCB),360.2847411
2020,7,All Segments (- N. BCB),255.5337318
2020,8,All Segments (- N. BCB),509.8044186
2020,9,All Segments (- N. BCB),558.7433061
2020,10,All Segments (- N. BCB),210.7995497
2020,11,All Segments (- N. BCB),397.1231679
2020,12,All Segments (- N. BCB),197.5875999
2021,1,All Segments (- N. BCB),99.95502457
2021,2,All Segments (- N. BCB),178.5309731
2021,3,All Segments (- N. BCB),90.17817231
2021,4,All Segments (- N. BCB),152.1120557
2021,5,All Segments (- N. BCB),49.25340277
2021,6,All Segments (- N. BCB),312.2409478
2021,7,All Segments (- N. BCB),560.7418238
2021,8,All Segments (- N. BCB),542.7538971
2021,9,All Segments (- N. BCB),582.8102451
2021,10,All Segments (- N. BCB),168.1045749
2021,11,All Segments (- N. BCB),237.060166
2021,12,All Segments (- N. BCB),89.9311267
1985,1,Hillsborough Bay,31.47408172
1985,2,Hillsborough Bay,30.45363078
1985,3,Hillsborough Bay,31.57426953
1985,4,Hillsborough Bay,24.41712768
1985,5,Hillsborough Bay,19.91793978
1985,6,Hillsborough Bay,48.48487875
1985,7,Hillsborough Bay,61.2778992
1985,8,Hillsborough Bay,180.7275304
1985,9,Hillsborough Bay,174.6203724
1985,10,Hillsborough Bay,63.97652395
1985,11,Hillsborough Bay,48.3458573
1985,12,Hillsborough Bay,34.43727988
1986,1,Hillsborough Bay,71.23184978
1986,2,Hillsborough Bay,59.60656819
1986,3,Hillsborough Bay,97.17580745
1986,4,Hillsborough Bay,34.29899193
1986,5,Hillsborough Bay,29.76196902
1986,6,Hillsborough Bay,70.06540722
1986,7,Hillsborough Bay,102.7520935
1986,8,Hillsborough Bay,175.3441878
1986,9,Hillsborough Bay,125.7947205
1986,10,Hillsborough Bay,80.52250326
1986,11,Hillsborough Bay,39.27426581
1986,12,Hillsborough Bay,43.54799493
1987,1,Hillsborough Bay,56.89661931
1987,2,Hillsborough Bay,45.45275759
1987,3,Hillsborough Bay,187.2657722
1987,4,Hillsborough Bay,190.2308127
1987,5,Hillsborough Bay,99.1124906
1987,6,Hillsborough Bay,57.95591564
1987,7,Hillsborough Bay,121.1975563
1987,8,Hillsborough Bay,118.7967131
1987,9,Hillsborough Bay,77.03900901
1987,10,Hillsborough Bay,60.95945397
1987,11,Hillsborough Bay,77.05149362
1987,12,Hillsborough Bay,43.79850116
1988,1,Hillsborough Bay,56.33250054
1988,2,Hillsborough Bay,57.85780522
1988,3,Hillsborough Bay,116.2662579
1988,4,Hillsborough Bay,40.62080646
1988,5,Hillsborough Bay,32.3217337
1988,6,Hillsborough Bay,37.39728134
1988,7,Hillsborough Bay,55.39597699
1988,8,Hillsborough Bay,136.3517426
1988,9,Hillsborough Bay,393.232231
1988,10,Hillsborough Bay,64.29486323
1988,11,Hillsborough Bay,118.8526632
1988,12,Hillsborough Bay,110.2101542
1989,1,Hillsborough Bay,79.00655593
1989,2,Hillsborough Bay,45.33388305
1989,3,Hillsborough Bay,40.55056679
1989,4,Hillsborough Bay,34.17987701
1989,5,Hillsborough Bay,26.41059754
1989,6,Hillsborough Bay,50.74960507
1989,7,Hillsborough Bay,74.01535608
1989,8,Hillsborough Bay,72.74680707
1989,9,Hillsborough Bay,108.7797448
1989,10,Hillsborough Bay,53.71267508
1989,11,Hillsborough Bay,34.0869337
1989,12,Hillsborough Bay,62.5474838
1990,1,Hillsborough Bay,40.36637452
