"modelseg","bay_segment","prop","year","month","var","period","val","date"
1,"Old Tampa Bay",0.766403773670725,2001,11,"HY","observed",9.39889628700429,2001-11-01
1,"Old Tampa Bay",0.766403773670725,2001,12,"TN","observed",11.5926364950877,2001-12-01
1,"Old Tampa Bay",0.766403773670725,2001,12,"TP","observed",4.13858253355106,2001-12-01
1,"Old Tampa Bay",0.766403773670725,2001,12,"TSS","observed",56.7125008929043,2001-12-01
1,"Old Tampa Bay",0.766403773670725,2001,12,"HY","observed",9.85829778779807,2001-12-01
1,"Old Tampa Bay",0.766403773670725,2002,1,"TN","observed",13.9776866393577,2002-01-01
1,"Old Tampa Bay",0.766403773670725,2002,1,"TP","observed",4.37160857151662,2002-01-01
1,"Old Tampa Bay",0.766403773670725,2002,1,"TSS","observed",72.8662301815421,2002-01-01
1,"Old Tampa Bay",0.766403773670725,2002,1,"HY","observed",17.147159695426,2002-01-01
1,"Old Tampa Bay",0.766403773670725,2002,2,"TN","observed",18.3767896636125,2002-02-01
1,"Old Tampa Bay",0.766403773670725,2002,2,"TP","observed",5.78952491828453,2002-02-01
1,"Old Tampa Bay",0.766403773670725,2002,2,"TSS","observed",186.428914610142,2002-02-01
1,"Old Tampa Bay",0.766403773670725,2002,2,"HY","observed",24.3226851661587,2002-02-01
1,"Old Tampa Bay",0.766403773670725,2002,3,"TN","observed",11.3990980606949,2002-03-01
1,"Old Tampa Bay",0.766403773670725,2002,3,"TP","observed",4.4052031784924,2002-03-01
1,"Old Tampa Bay",0.766403773670725,2002,3,"TSS","observed",103.500002324181,2002-03-01
1,"Old Tampa Bay",0.766403773670725,2002,3,"HY","observed",10.0953545590214,2002-03-01
1,"Old Tampa Bay",0.766403773670725,2002,4,"TN","observed",16.8075593286064,2002-04-01
1,"Old Tampa Bay",0.766403773670725,2002,4,"TP","observed",4.39067819803145,2002-04-01
1,"Old Tampa Bay",0.766403773670725,2002,4,"TSS","observed",72.441746895716,2002-04-01
